Order Number,Customer Number,Order Status,Total Price,Order Date,Order Priority,Clerk,Shipping Priority,Comment
52,1245,F,2742.89,2020-01-04 17:21:28.645909727,2-HIGH,Clerk#000000078,7,Order processed smoothly 52
53,317,F,4871.24,2020-01-04 19:06:36.266417761,3-MEDIUM,Clerk#000000018,3,Order processed smoothly 53
54,972,P,2321.9,2020-01-04 20:51:43.886925795,2-HIGH,Clerk#000000034,6,Order processed smoothly 54
55,424,O,4255.83,2020-01-04 22:36:51.507433828,3-MEDIUM,Clerk#000000026,2,Order processed smoothly 55
56,966,F,4020.78,2020-01-05 00:21:59.127941862,1-URGENT,Clerk#000000084,7,Order processed smoothly 56
57,242,O,2780.53,2020-01-05 02:07:06.748449896,4-LOW,Clerk#000000037,4,Order processed smoothly 57
58,418,O,1977.23,2020-01-05 03:52:14.368957930,5-VERY LOW,Clerk#000000074,5,Order processed smoothly 58
59,1214,P,2440.25,2020-01-05 05:37:21.989465964,5-VERY LOW,Clerk#000000049,4,Order processed smoothly 59
60,1378,O,2221.97,2020-01-05 07:22:29.609973998,5-VERY LOW,Clerk#000000051,9,Order processed smoothly 60
61,1186,F,4775.63,2020-01-05 09:07:37.230482032,2-HIGH,Clerk#000000087,8,Order processed smoothly 61
62,159,P,2621.01,2020-01-05 10:52:44.850990066,5-VERY LOW,Clerk#000000023,7,Order processed smoothly 62
63,860,P,4546.23,2020-01-05 12:37:52.471498099,1-URGENT,Clerk#000000088,0,Order processed smoothly 63
64,399,P,3913.7,2020-01-05 14:23:00.092006133,1-URGENT,Clerk#000000046,0,Order processed smoothly 64
65,1122,O,3474.24,2020-01-05 16:08:07.712514167,2-HIGH,Clerk#000000085,3,Order processed smoothly 65
66,996,F,3702.78,2020-01-05 17:53:15.333022201,1-URGENT,Clerk#000000054,9,Order processed smoothly 66
67,1493,F,4970.87,2020-01-05 19:38:22.953530235,5-VERY LOW,Clerk#000000055,0,Order processed smoothly 67
68,708,F,1822.8,2020-01-05 21:23:30.574038269,5-VERY LOW,Clerk#000000016,8,Order processed smoothly 68
69,983,O,3767.28,2020-01-05 23:08:38.194546303,1-URGENT,Clerk#000000008,9,Order processed smoothly 69
70,326,O,3693.87,2020-01-06 00:53:45.815054337,4-LOW,Clerk#000000015,7,Order processed smoothly 70
71,1184,O,1388.88,2020-01-06 02:38:53.435562370,4-LOW,Clerk#000000075,3,Order processed smoothly 71
72,756,O,1926.66,2020-01-06 04:24:01.056070404,1-URGENT,Clerk#000000009,3,Order processed smoothly 72
73,720,O,2736.44,2020-01-06 06:09:08.676578438,4-LOW,Clerk#000000031,0,Order processed smoothly 73
74,326,O,1928.18,2020-01-06 07:54:16.297086472,3-MEDIUM,Clerk#000000006,9,Order processed smoothly 74
75,821,P,3161.12,2020-01-06 09:39:23.917594506,2-HIGH,Clerk#000000049,0,Order processed smoothly 75
76,1106,P,2629.18,2020-01-06 11:24:31.538102540,1-URGENT,Clerk#000000077,0,Order processed smoothly 76
77,871,P,1862.53,2020-01-06 13:09:39.158610574,2-HIGH,Clerk#000000018,0,Order processed smoothly 77
78,480,P,1633.57,2020-01-06 14:54:46.779118607,4-LOW,Clerk#000000011,6,Order processed smoothly 78
79,116,P,4484.54,2020-01-06 16:39:54.399626641,2-HIGH,Clerk#000000010,3,Order processed smoothly 79
80,345,O,2565.54,2020-01-06 18:25:02.020134675,1-URGENT,Clerk#000000078,5,Order processed smoothly 80
81,954,F,3692.51,2020-01-06 20:10:09.640642709,2-HIGH,Clerk#000000016,3,Order processed smoothly 81
82,636,F,4105.23,2020-01-06 21:55:17.261150743,4-LOW,Clerk#000000048,9,Order processed smoothly 82
83,1215,F,3922.84,2020-01-06 23:40:24.881658777,1-URGENT,Clerk#000000055,7,Order processed smoothly 83
84,837,O,3955.0,2020-01-07 01:25:32.502166811,2-HIGH,Clerk#000000093,3,Order processed smoothly 84
85,1132,F,4787.28,2020-01-07 03:10:40.122674845,2-HIGH,Clerk#000000042,1,Order processed smoothly 85
86,978,F,3196.2,2020-01-07 04:55:47.743182878,5-VERY LOW,Clerk#000000035,1,Order processed smoothly 86
87,1198,O,4659.52,2020-01-07 06:40:55.363690912,5-VERY LOW,Clerk#000000022,3,Order processed smoothly 87
88,183,F,1305.3,2020-01-07 08:26:02.984198946,2-HIGH,Clerk#000000099,0,Order processed smoothly 88
89,704,P,2280.19,2020-01-07 10:11:10.604706980,5-VERY LOW,Clerk#000000086,0,Order processed smoothly 89
90,188,F,3546.25,2020-01-07 11:56:18.225215014,5-VERY LOW,Clerk#000000057,7,Order processed smoothly 90
91,1415,P,4868.3,2020-01-07 13:41:25.845723048,4-LOW,Clerk#000000044,4,Order processed smoothly 91
92,799,O,4432.09,2020-01-07 15:26:33.466231082,4-LOW,Clerk#000000051,8,Order processed smoothly 92
93,407,F,2353.17,2020-01-07 17:11:41.086739116,2-HIGH,Clerk#000000059,4,Order processed smoothly 93
94,939,O,2924.62,2020-01-07 18:56:48.707247149,1-URGENT,Clerk#000000055,6,Order processed smoothly 94
95,54,P,1624.94,2020-01-07 20:41:56.327755183,3-MEDIUM,Clerk#000000081,5,Order processed smoothly 95
96,306,P,4325.16,2020-01-07 22:27:03.948263217,1-URGENT,Clerk#000000053,7,Order processed smoothly 96
97,91,F,4106.38,2020-01-08 00:12:11.568771251,3-MEDIUM,Clerk#000000096,9,Order processed smoothly 97
98,1449,P,2743.21,2020-01-08 01:57:19.189279285,3-MEDIUM,Clerk#000000075,9,Order processed smoothly 98
99,846,O,2732.69,2020-01-08 03:42:26.809787319,4-LOW,Clerk#000000044,4,Order processed smoothly 99
100,304,F,1514.18,2020-01-08 05:27:34.430295353,3-MEDIUM,Clerk#000000020,6,Order processed smoothly 100
101,510,F,4737.59,2020-01-08 07:12:42.050803386,3-MEDIUM,Clerk#000000020,4,Order processed smoothly 101
102,985,P,1780.97,2020-01-08 08:57:49.671311420,1-URGENT,Clerk#000000052,5,Order processed smoothly 102
103,496,P,3288.58,2020-01-08 10:42:57.291819454,5-VERY LOW,Clerk#000000064,9,Order processed smoothly 103
104,806,O,1966.9,2020-01-08 12:28:04.912327488,1-URGENT,Clerk#000000051,9,Order processed smoothly 104
105,10,O,1484.55,2020-01-08 14:13:12.532835522,4-LOW,Clerk#000000020,1,Order processed smoothly 105
106,290,O,3914.34,2020-01-08 15:58:20.153343556,3-MEDIUM,Clerk#000000065,6,Order processed smoothly 106
107,605,P,2898.63,2020-01-08 17:43:27.773851590,5-VERY LOW,Clerk#000000014,3,Order processed smoothly 107
108,482,P,4979.72,2020-01-08 19:28:35.394359624,3-MEDIUM,Clerk#000000067,7,Order processed smoothly 108
109,899,O,3347.04,2020-01-08 21:13:43.014867657,3-MEDIUM,Clerk#000000055,2,Order processed smoothly 109
110,220,O,4679.28,2020-01-08 22:58:50.635375691,3-MEDIUM,Clerk#000000083,1,Order processed smoothly 110
111,1167,F,3703.1,2020-01-09 00:43:58.255883725,2-HIGH,Clerk#000000013,0,Order processed smoothly 111
112,1472,O,1684.24,2020-01-09 02:29:05.876391759,5-VERY LOW,Clerk#000000056,8,Order processed smoothly 112
113,568,F,1333.82,2020-01-09 04:14:13.496899793,4-LOW,Clerk#000000068,9,Order processed smoothly 113
114,1243,P,4114.51,2020-01-09 05:59:21.117407827,4-LOW,Clerk#000000069,6,Order processed smoothly 114
115,843,O,4747.46,2020-01-09 07:44:28.737915861,3-MEDIUM,Clerk#000000094,2,Order processed smoothly 115
116,921,F,3903.58,2020-01-09 09:29:36.358423895,2-HIGH,Clerk#000000075,5,Order processed smoothly 116
117,997,O,2985.67,2020-01-09 11:14:43.978931928,4-LOW,Clerk#000000090,3,Order processed smoothly 117
118,697,F,1756.52,2020-01-09 12:59:51.599439962,1-URGENT,Clerk#000000015,2,Order processed smoothly 118
119,389,O,2842.26,2020-01-09 14:44:59.219947996,4-LOW,Clerk#000000019,6,Order processed smoothly 119
120,516,O,2161.05,2020-01-09 16:30:06.840456030,4-LOW,Clerk#000000039,1,Order processed smoothly 120
121,965,O,3928.5,2020-01-09 18:15:14.460964064,4-LOW,Clerk#000000087,7,Order processed smoothly 121
122,106,P,2355.76,2020-01-09 20:00:22.081472098,4-LOW,Clerk#000000035,1,Order processed smoothly 122
123,164,O,1371.06,2020-01-09 21:45:29.701980132,5-VERY LOW,Clerk#000000074,9,Order processed smoothly 123
124,1405,O,1814.9,2020-01-09 23:30:37.322488165,4-LOW,Clerk#000000028,7,Order processed smoothly 124
125,967,F,2232.57,2020-01-10 01:15:44.942996199,2-HIGH,Clerk#000000043,2,Order processed smoothly 125
126,79,F,2461.11,2020-01-10 03:00:52.563504233,5-VERY LOW,Clerk#000000046,5,Order processed smoothly 126
127,1350,P,3982.52,2020-01-10 04:46:00.184012267,4-LOW,Clerk#000000046,3,Order processed smoothly 127
128,809,F,2292.38,2020-01-10 06:31:07.804520301,3-MEDIUM,Clerk#000000095,9,Order processed smoothly 128
129,681,O,4580.06,2020-01-10 08:16:15.425028335,3-MEDIUM,Clerk#000000061,7,Order processed smoothly 129
130,1167,O,4829.18,2020-01-10 10:01:23.045536369,1-URGENT,Clerk#000000087,8,Order processed smoothly 130
131,745,F,3319.49,2020-01-10 11:46:30.666044403,2-HIGH,Clerk#000000024,2,Order processed smoothly 131
132,36,P,1417.39,2020-01-10 13:31:38.286552436,5-VERY LOW,Clerk#000000077,4,Order processed smoothly 132
133,1174,P,3021.28,2020-01-10 15:16:45.907060470,3-MEDIUM,Clerk#000000031,2,Order processed smoothly 133
134,679,F,3340.36,2020-01-10 17:01:53.527568504,1-URGENT,Clerk#000000051,8,Order processed smoothly 134
135,215,F,4823.89,2020-01-10 18:47:01.148076538,1-URGENT,Clerk#000000042,3,Order processed smoothly 135
136,198,O,3252.59,2020-01-10 20:32:08.768584572,3-MEDIUM,Clerk#000000076,2,Order processed smoothly 136
137,126,P,3425.85,2020-01-10 22:17:16.389092606,5-VERY LOW,Clerk#000000035,9,Order processed smoothly 137
138,1073,F,1039.64,2020-01-11 00:02:24.009600640,2-HIGH,Clerk#000000023,5,Order processed smoothly 138
139,1174,O,4774.04,2020-01-11 01:47:31.630108674,3-MEDIUM,Clerk#000000054,0,Order processed smoothly 139
140,817,O,2184.69,2020-01-11 03:32:39.250616707,3-MEDIUM,Clerk#000000014,1,Order processed smoothly 140
141,904,P,3430.75,2020-01-11 05:17:46.871124741,4-LOW,Clerk#000000058,4,Order processed smoothly 141
142,1432,P,4027.05,2020-01-11 07:02:54.491632775,2-HIGH,Clerk#000000080,6,Order processed smoothly 142
143,1413,F,3119.83,2020-01-11 08:48:02.112140809,4-LOW,Clerk#000000066,8,Order processed smoothly 143
144,543,F,1108.87,2020-01-11 10:33:09.732648843,4-LOW,Clerk#000000021,1,Order processed smoothly 144
145,1394,P,2744.62,2020-01-11 12:18:17.353156877,4-LOW,Clerk#000000020,1,Order processed smoothly 145
146,398,P,3167.01,2020-01-11 14:03:24.973664911,2-HIGH,Clerk#000000039,0,Order processed smoothly 146
147,516,O,3287.25,2020-01-11 15:48:32.594172944,3-MEDIUM,Clerk#000000051,1,Order processed smoothly 147
148,955,P,3638.22,2020-01-11 17:33:40.214680978,3-MEDIUM,Clerk#000000004,1,Order processed smoothly 148
149,197,O,4612.49,2020-01-11 19:18:47.835189012,5-VERY LOW,Clerk#000000083,5,Order processed smoothly 149
150,1053,F,4342.34,2020-01-11 21:03:55.455697046,2-HIGH,Clerk#000000010,6,Order processed smoothly 150
151,50,P,2249.19,2020-01-11 22:49:03.076205080,4-LOW,Clerk#000000020,1,Order processed smoothly 151
152,946,F,3158.3,2020-01-12 00:34:10.696713114,5-VERY LOW,Clerk#000000053,6,Order processed smoothly 152
153,399,O,4972.12,2020-01-12 02:19:18.317221148,4-LOW,Clerk#000000050,7,Order processed smoothly 153
154,620,F,2486.66,2020-01-12 04:04:25.937729182,4-LOW,Clerk#000000038,4,Order processed smoothly 154
155,872,O,4478.25,2020-01-12 05:49:33.558237215,5-VERY LOW,Clerk#000000092,1,Order processed smoothly 155
156,1378,P,2695.66,2020-01-12 07:34:41.178745249,4-LOW,Clerk#000000043,7,Order processed smoothly 156
157,1114,F,4073.55,2020-01-12 09:19:48.799253283,4-LOW,Clerk#000000037,5,Order processed smoothly 157
158,1463,P,4985.45,2020-01-12 11:04:56.419761317,1-URGENT,Clerk#000000070,4,Order processed smoothly 158
159,988,O,4933.95,2020-01-12 12:50:04.040269351,4-LOW,Clerk#000000064,9,Order processed smoothly 159
160,336,O,4675.3,2020-01-12 14:35:11.660777385,4-LOW,Clerk#000000074,5,Order processed smoothly 160
161,754,P,1245.25,2020-01-12 16:20:19.281285419,1-URGENT,Clerk#000000041,9,Order processed smoothly 161
162,627,O,1754.06,2020-01-12 18:05:26.901793452,2-HIGH,Clerk#000000018,8,Order processed smoothly 162
163,1273,O,4654.54,2020-01-12 19:50:34.522301486,2-HIGH,Clerk#000000025,9,Order processed smoothly 163
164,1452,F,1248.74,2020-01-12 21:35:42.142809520,1-URGENT,Clerk#000000060,1,Order processed smoothly 164
165,415,F,2030.61,2020-01-12 23:20:49.763317554,3-MEDIUM,Clerk#000000006,8,Order processed smoothly 165
166,726,P,1612.98,2020-01-13 01:05:57.383825588,1-URGENT,Clerk#000000073,4,Order processed smoothly 166
167,1350,O,4836.04,2020-01-13 02:51:05.004333622,2-HIGH,Clerk#000000052,6,Order processed smoothly 167
168,1429,F,4238.96,2020-01-13 04:36:12.624841656,4-LOW,Clerk#000000045,2,Order processed smoothly 168
169,994,P,1920.64,2020-01-13 06:21:20.245349690,5-VERY LOW,Clerk#000000026,4,Order processed smoothly 169
170,826,O,1789.15,2020-01-13 08:06:27.865857723,1-URGENT,Clerk#000000095,0,Order processed smoothly 170
171,1280,F,4897.36,2020-01-13 09:51:35.486365757,4-LOW,Clerk#000000078,1,Order processed smoothly 171
172,563,P,1062.68,2020-01-13 11:36:43.106873791,4-LOW,Clerk#000000009,8,Order processed smoothly 172
173,1485,F,3162.01,2020-01-13 13:21:50.727381825,5-VERY LOW,Clerk#000000075,2,Order processed smoothly 173
174,1127,O,1984.86,2020-01-13 15:06:58.347889859,1-URGENT,Clerk#000000089,3,Order processed smoothly 174
175,1187,P,3365.12,2020-01-13 16:52:05.968397893,2-HIGH,Clerk#000000088,4,Order processed smoothly 175
176,806,F,3826.64,2020-01-13 18:37:13.588905927,2-HIGH,Clerk#000000036,1,Order processed smoothly 176
177,939,F,2292.07,2020-01-13 20:22:21.209413961,4-LOW,Clerk#000000044,5,Order processed smoothly 177
178,754,F,1328.87,2020-01-13 22:07:28.829921994,3-MEDIUM,Clerk#000000093,7,Order processed smoothly 178
179,615,F,3645.89,2020-01-13 23:52:36.450430028,4-LOW,Clerk#000000085,8,Order processed smoothly 179
180,1463,P,2235.42,2020-01-14 01:37:44.070938062,2-HIGH,Clerk#000000020,1,Order processed smoothly 180
181,947,O,4121.88,2020-01-14 03:22:51.691446096,1-URGENT,Clerk#000000046,8,Order processed smoothly 181
182,96,O,3480.2,2020-01-14 05:07:59.311954130,2-HIGH,Clerk#000000027,8,Order processed smoothly 182
183,366,O,1232.21,2020-01-14 06:53:06.932462164,5-VERY LOW,Clerk#000000053,3,Order processed smoothly 183
184,1150,F,3019.92,2020-01-14 08:38:14.552970198,4-LOW,Clerk#000000048,1,Order processed smoothly 184
185,671,F,4502.86,2020-01-14 10:23:22.173478232,1-URGENT,Clerk#000000021,9,Order processed smoothly 185
186,679,P,4316.89,2020-01-14 12:08:29.793986265,2-HIGH,Clerk#000000001,9,Order processed smoothly 186
187,991,F,2916.32,2020-01-14 13:53:37.414494299,3-MEDIUM,Clerk#000000049,2,Order processed smoothly 187
188,1375,P,3945.44,2020-01-14 15:38:45.035002333,5-VERY LOW,Clerk#000000068,9,Order processed smoothly 188
189,1151,F,3820.85,2020-01-14 17:23:52.655510367,4-LOW,Clerk#000000094,2,Order processed smoothly 189
190,635,P,3696.09,2020-01-14 19:09:00.276018401,1-URGENT,Clerk#000000027,7,Order processed smoothly 190
191,213,P,4705.43,2020-01-14 20:54:07.896526435,2-HIGH,Clerk#000000080,1,Order processed smoothly 191
192,1466,F,1491.87,2020-01-14 22:39:15.517034469,3-MEDIUM,Clerk#000000088,5,Order processed smoothly 192
193,1107,P,3770.71,2020-01-15 00:24:23.137542503,2-HIGH,Clerk#000000043,4,Order processed smoothly 193
194,757,F,2094.97,2020-01-15 02:09:30.758050536,3-MEDIUM,Clerk#000000011,7,Order processed smoothly 194
195,312,O,1562.19,2020-01-15 03:54:38.378558570,3-MEDIUM,Clerk#000000031,9,Order processed smoothly 195
196,473,F,2645.89,2020-01-15 05:39:45.999066604,5-VERY LOW,Clerk#000000048,8,Order processed smoothly 196
197,732,P,1473.54,2020-01-15 07:24:53.619574638,5-VERY LOW,Clerk#000000018,1,Order processed smoothly 197
198,853,P,2987.07,2020-01-15 09:10:01.240082672,5-VERY LOW,Clerk#000000037,4,Order processed smoothly 198
199,1190,F,2722.97,2020-01-15 10:55:08.860590706,2-HIGH,Clerk#000000096,4,Order processed smoothly 199
200,502,O,4281.16,2020-01-15 12:40:16.481098740,2-HIGH,Clerk#000000089,2,Order processed smoothly 200
201,1191,F,2868.57,2020-01-15 14:25:24.101606773,5-VERY LOW,Clerk#000000060,8,Order processed smoothly 201
202,1486,P,4236.36,2020-01-15 16:10:31.722114807,4-LOW,Clerk#000000006,4,Order processed smoothly 202
203,14,O,1648.19,2020-01-15 17:55:39.342622841,1-URGENT,Clerk#000000036,1,Order processed smoothly 203
204,471,P,1191.52,2020-01-15 19:40:46.963130875,5-VERY LOW,Clerk#000000017,1,Order processed smoothly 204
205,838,F,3902.24,2020-01-15 21:25:54.583638909,2-HIGH,Clerk#000000068,9,Order processed smoothly 205
206,900,F,3030.61,2020-01-15 23:11:02.204146943,3-MEDIUM,Clerk#000000052,6,Order processed smoothly 206
207,774,F,2684.32,2020-01-16 00:56:09.824654977,4-LOW,Clerk#000000094,3,Order processed smoothly 207
208,1439,O,3851.85,2020-01-16 02:41:17.445163011,4-LOW,Clerk#000000061,2,Order processed smoothly 208
209,1413,P,4794.18,2020-01-16 04:26:25.065671044,5-VERY LOW,Clerk#000000055,7,Order processed smoothly 209
210,1005,F,3953.28,2020-01-16 06:11:32.686179078,4-LOW,Clerk#000000093,7,Order processed smoothly 210
211,869,F,3637.21,2020-01-16 07:56:40.306687112,5-VERY LOW,Clerk#000000020,1,Order processed smoothly 211
212,891,P,2980.06,2020-01-16 09:41:47.927195146,1-URGENT,Clerk#000000058,8,Order processed smoothly 212
213,1076,O,1485.8,2020-01-16 11:26:55.547703180,5-VERY LOW,Clerk#000000003,6,Order processed smoothly 213
214,898,F,1316.92,2020-01-16 13:12:03.168211214,4-LOW,Clerk#000000048,6,Order processed smoothly 214
215,780,F,1188.14,2020-01-16 14:57:10.788719248,3-MEDIUM,Clerk#000000081,7,Order processed smoothly 215
216,947,P,2275.37,2020-01-16 16:42:18.409227281,2-HIGH,Clerk#000000078,8,Order processed smoothly 216
217,1364,P,2408.37,2020-01-16 18:27:26.029735315,3-MEDIUM,Clerk#000000057,3,Order processed smoothly 217
218,469,O,2701.3,2020-01-16 20:12:33.650243349,2-HIGH,Clerk#000000021,6,Order processed smoothly 218
219,848,O,4077.39,2020-01-16 21:57:41.270751383,1-URGENT,Clerk#000000030,0,Order processed smoothly 219
220,65,F,3127.83,2020-01-16 23:42:48.891259417,5-VERY LOW,Clerk#000000022,9,Order processed smoothly 220
221,238,F,1548.15,2020-01-17 01:27:56.511767451,2-HIGH,Clerk#000000098,2,Order processed smoothly 221
222,1462,F,1476.49,2020-01-17 03:13:04.132275485,1-URGENT,Clerk#000000097,8,Order processed smoothly 222
223,295,O,3589.28,2020-01-17 04:58:11.752783519,4-LOW,Clerk#000000009,0,Order processed smoothly 223
224,345,F,1059.81,2020-01-17 06:43:19.373291552,3-MEDIUM,Clerk#000000007,0,Order processed smoothly 224
225,922,F,3943.63,2020-01-17 08:28:26.993799586,5-VERY LOW,Clerk#000000007,8,Order processed smoothly 225
226,1131,P,2490.82,2020-01-17 10:13:34.614307620,3-MEDIUM,Clerk#000000082,6,Order processed smoothly 226
227,1140,O,4998.24,2020-01-17 11:58:42.234815654,4-LOW,Clerk#000000094,4,Order processed smoothly 227
228,657,F,3308.51,2020-01-17 13:43:49.855323688,1-URGENT,Clerk#000000087,7,Order processed smoothly 228
229,867,P,4460.64,2020-01-17 15:28:57.475831722,1-URGENT,Clerk#000000024,0,Order processed smoothly 229
230,926,P,4199.74,2020-01-17 17:14:05.096339756,1-URGENT,Clerk#000000030,4,Order processed smoothly 230
231,1369,P,2446.0,2020-01-17 18:59:12.716847790,3-MEDIUM,Clerk#000000028,9,Order processed smoothly 231
232,185,P,3906.78,2020-01-17 20:44:20.337355823,4-LOW,Clerk#000000012,6,Order processed smoothly 232
233,255,O,4754.04,2020-01-17 22:29:27.957863857,1-URGENT,Clerk#000000090,0,Order processed smoothly 233
234,1295,P,2153.84,2020-01-18 00:14:35.578371891,2-HIGH,Clerk#000000001,4,Order processed smoothly 234
235,93,F,2031.97,2020-01-18 01:59:43.198879925,1-URGENT,Clerk#000000063,9,Order processed smoothly 235
236,1108,P,1777.28,2020-01-18 03:44:50.819387959,2-HIGH,Clerk#000000028,5,Order processed smoothly 236
237,137,O,4591.03,2020-01-18 05:29:58.439895993,3-MEDIUM,Clerk#000000040,2,Order processed smoothly 237
238,1151,O,1542.74,2020-01-18 07:15:06.060404027,5-VERY LOW,Clerk#000000014,7,Order processed smoothly 238
239,84,F,2620.47,2020-01-18 09:00:13.680912060,2-HIGH,Clerk#000000012,7,Order processed smoothly 239
240,1185,P,2833.14,2020-01-18 10:45:21.301420094,1-URGENT,Clerk#000000087,3,Order processed smoothly 240
